,label,confidence,reason,Text_ID,ID
0,NEUTRAL,0.85,"The sentence is a rhetorical challenge to the Minister's knowledge about nuclear energy, lacking direct reference to executive power expansion or institutional undermining.",ParlaMint-HU_2017-03-06,u2017-03-06-171
1,NEUTRAL,0.9,"While the full speech criticizes government unilateralism, this specific sentence focuses on the moral nature of nuclear energy, making its stance neutral.",ParlaMint-HU_2017-03-06,u2017-03-06-171
2,NEUTRAL,0.95,"The sentence characterizes the Paks II project as a moral issue concerning nuclear waste, rather than addressing executive power or democratic institutional decay.",ParlaMint-HU_2017-03-06,u2017-03-06-171
3,NEUTRAL,0.9,"The sentence addresses technical and ethical concerns about nuclear waste, not the expansion of executive power or the undermining of democratic institutions.",ParlaMint-HU_2017-03-06,u2017-03-06-171
4,NEUTRAL,0.9,"The sentence addresses the moral implications of nuclear waste for future generations, rather than criticizing the expansion of executive power or democratic institutional erosion.",ParlaMint-HU_2017-03-06,u2017-03-06-171
5,NEUTRAL,0.95,The sentence makes a factual claim about climate change knowledge and does not address executive power or democratic institutions.,ParlaMint-HU_2017-03-06,u2017-03-06-171
6,NEUTRAL,0.9,The sentence provides a factual claim about nuclear waste decay rather than addressing the expansion of executive power or democratic institutional health.,ParlaMint-HU_2017-03-06,u2017-03-06-171
7,NEUTRAL,1.0,The sentence discusses environmental and energy policy regarding emissions comparisons and does not address executive power or democratic institutions.,ParlaMint-HU_2017-03-06,u2017-03-06-173
8,NEUTRAL,0.95,The sentence factually compares German energy sources and does not address executive power or democratic institutional changes within the context of the speech.,ParlaMint-HU_2017-03-06,u2017-03-06-173
9,NEUTRAL,0.95,"The sentence discusses German climate policy and energy efficiency, showing no direct relation to the expansion or limitation of executive powers.",ParlaMint-HU_2017-03-06,u2017-03-06-173
10,NEUTRAL,1.0,The sentence is a polite acknowledgment of an opponent's concerns during a policy debate and does not address executive power or institutional changes.,ParlaMint-HU_2017-03-06,u2017-03-06-173
11,NEUTRAL,0.95,"The sentence discusses electricity prices and utility costs as a moral issue, not relating to executive power expansion or democratic institutional health.",ParlaMint-HU_2017-03-06,u2017-03-06-173
