,label,confidence,reason,Text_ID,ID,sentence
0,NEUTRAL,0.95,"The sentence focuses on economic performance and policy success, without mentioning changes to institutional power or executive authority structures.",ParlaMint-HU_2018-02-21,u2018-02-21-89-7,"Ha az első pillért, az első témakört nézzük, a gazdaságpolitikát, a kormány tagjai és képviselőtársaim nagyon sok olyan tényadatot soroltak fel, amelyek azt bizonyítják, hogy jó úton haladunk."
1,NEUTRAL,1.0,"The sentence discusses economic performance and unemployment levels, which does not relate to the expansion of executive power or the weakening of democratic institutions.",ParlaMint-HU_2018-02-21,u2018-02-21-89-8,"Csökken a munkanélküliség, gyakorlatilag már nincs."
2,NEUTRAL,0.95,The sentence cites macroeconomic indicators as evidence of government success without mentioning executive power expansion or the erosion of democratic institutions.,ParlaMint-HU_2018-02-21,u2018-02-21-89-9,"Csökken az államháztartás hiánya, nagyon alacsony az infláció."
3,NEUTRAL,0.95,The sentence focuses on employment opportunities and economic performance rather than the expansion of executive power or the undermining of democratic institutions.,ParlaMint-HU_2018-02-21,u2018-02-21-89-10,"Aki akar, ma Magyarországon dolgozhat."
4,NEUTRAL,0.95,"The sentence praises family policy outcomes without referencing executive power expansion or institutional changes, making it neutral regarding executive aggrandisement.",ParlaMint-HU_2018-02-21,u2018-02-21-89-11,"A családpolitikai intézkedéseink során is be tudunk számolni sok-sok sikerről, azt mondjuk, hogy jó úton járunk."
5,NEUTRAL,1.0,"The sentence is a generic rhetorical statement about ongoing policy work, lacking any mention of executive power or the undermining of democratic institutions.",ParlaMint-HU_2018-02-21,u2018-02-21-89-12,"Mindig hozzáteszem, hogy természetesen sok még a tennivalónk."
6,NEUTRAL,1.0,"The sentence focuses on family policy and childbearing, lacking any reference to executive power expansion or democratic institutional changes.",ParlaMint-HU_2018-02-21,u2018-02-21-89-13,"A családpolitikai intézkedések közül kiemelném azokat, amelyek segítik és támogatják a gyermekvállalást."
7,NEUTRAL,0.9,"The sentence highlights social policy outcomes regarding pensions and living standards, without addressing the structural expansion of executive power or democratic institutions.",ParlaMint-HU_2018-02-21,u2018-02-21-89-14,"Kiemelném azt is, hogy a nyugdíjasok egyre javulóbb életkörülmények között élhetnek, a nyugdíjak vásárlóereje erősödik és növekszik."
8,NEUTRAL,0.95,"The sentence identifies a specific social policy about retirement without addressing executive power, institutional checks, or democratic processes.",ParlaMint-HU_2018-02-21,u2018-02-21-89-15,Még a nyugdíjastémához mindenféleképpen kiemelném a „Nők 40” programot.
9,NEUTRAL,1.0,The sentence identifies a demographic challenge and is unrelated to the expansion of executive power or the undermining of democratic institutions.,ParlaMint-HU_2018-02-21,u2018-02-21-89-16,Komoly problémánk a demográfiai helyzet.
10,NEUTRAL,0.95,"The sentence focuses on demographic statistics and family policy successes, lacking any reference to the expansion or limitation of executive power.",ParlaMint-HU_2018-02-21,u2018-02-21-89-17,"Itt is sikerült elmozdulást elérnünk, hiszen 1,5 százalékos a termékenységi ráta indexe."
11,NEUTRAL,1.0,The sentence is a polite closing remark regarding an upcoming election campaign and does not address executive power or the expansion of government authority.,ParlaMint-HU_2018-02-21,u2018-02-21-89-18,"Miután időm lejárt, én is szeretnék mindenkinek jó munkát kívánni a kampányban és mindenekelőtt tisztességes kampányt."
12,NEUTRAL,1.0,"The sentence is a standard procedural closing thanking the chair for the floor, conveying no stance on executive power or democratic institutions.",ParlaMint-HU_2018-02-21,u2018-02-21-89-19,Köszönöm szépen a hozzászólásra a lehetőséget.
13,CONTRA,0.8,"The MP criticizes parliamentary leadership for disregarding European norms, clearly opposing the erosion of democratic institutional standards.",ParlaMint-HU_2018-03-21,u2018-03-21-13-1,Ameddig képviselőtársam az európai normáknak megfelelő parlamenti ülésvezetést nem tudja figyelembe venni…
14,NEUTRAL,0.9,The sentence criticizes opposition parliamentary behavior and decorum without addressing executive power expansion or the undermining of democratic institutions.,ParlaMint-HU_2018-03-21,u2018-03-21-25-2,"Mindenekelőtt engedje meg, elnök úr és tisztelt Országgyűlés, hogy azt észrevételezzem  hogy a Jobbik és az LMP frakciója az elmúlt 25 percben produkált magatartása alapján nemhogy a kormánypárti vagy kormányzati munkára alkalmatlan, hanem ahhoz képest sem tudnak normálisan viselkedni, hogy a parlamentben az elmúlt 28 évben milyen szokások voltak."
15,NEUTRAL,0.9,The sentence mocks opposition behavior in parliament as unprofessional but does not address the expansion of executive power or institutional changes.,ParlaMint-HU_2018-03-21,u2018-03-21-25-3,"Kétségkívül most ezt a háziversenyt a Jobbik és az LMP között az LMP nyerte, mert ők mégiscsak egy bohócot is bejuttattak a parlamentbe  aki táblát tart az államtitkár mögé  aminek tartalma legfeljebb az ő politikai, egyébként rendkívül színes politikai tevékenységét minősíti."
16,NEUTRAL,1.0,"The sentence is a factual notification regarding a legal request for immunity suspension, following standard parliamentary procedure without taking a political stance.",ParlaMint-HU_2018-03-21,u2018-03-21-31-2,"Az Országgyűlésről szóló 2012. évi XXXVI. törvény 77. § (1) bekezdésében foglaltak alapján tájékoztatom önöket, hogy a Miskolci Járásbíróság 8.Bpk.75/2018/4. szám alatt indítványozta Egyed Zsolt, Jobbik, országgyűlési képviselő mentelmi jogának felfüggesztését magánvádas ügyben."
17,NEUTRAL,1.0,"The sentence describes a routine procedural step regarding a parliamentary immunity request, showing no stance on executive power or democratic institutional changes.",ParlaMint-HU_2018-03-21,u2018-03-21-31-3,Ezt megvizsgálás céljából átadtam a Mentelmi bizottságnak.
18,NEUTRAL,0.95,"The sentence is a purely factual, procedural report regarding an MP's immunity status and does not express a stance on executive power.",ParlaMint-HU_2018-03-21,u2018-03-21-31-4,"A Mentelmi bizottság megállapította, hogy a feljelentés Egyed Zsolt országgyűlési képviselői megbízatásával összefüggésben, képviselői megbízatásának gyakorlása során, az Országgyűlés plenáris ülésén elhangzott felszólalásán alapul.Az Ogytv."
