,label,confidence,reason,Text_ID,ID
0,NEUTRAL,0.9,"The sentence reports another MP's pro-government stance on NGO transparency laws, acting as a factual recount to set up the speaker's rebuttal.",ParlaMint-HU_2017-03-21,u2017-03-21-77
1,CONTRA,0.85,"The MP criticizes government-linked wealth accumulation, challenging the executive's transparency while opposing government pressure on civil society mentioned in the speech.",ParlaMint-HU_2017-03-21,u2017-03-21-77
2,NEUTRAL,1.0,"The sentence is a polite introductory remark regarding parliamentary interaction and clarification, expressing no stance on executive power or institutional changes.",ParlaMint-HU_2017-03-21,u2017-03-21-83
3,NEUTRAL,0.95,The sentence is a polite rhetorical acknowledgement of a clarification and does not relate to executive power or democratic institutions.,ParlaMint-HU_2017-03-21,u2017-03-21-83
4,NEUTRAL,1.0,The sentence is a procedural remark about staying on topic and does not address executive power or democratic institutions.,ParlaMint-HU_2017-03-21,u2017-03-21-83
5,NEUTRAL,0.95,The sentence focuses on supporting an economic initiative as national interest without addressing the expansion of executive power or institutional changes.,ParlaMint-HU_2017-03-21,u2017-03-21-83
6,NEUTRAL,0.95,"The sentence focuses on economic opportunities for Hungary in a specific region, not addressing executive power or democratic institutional changes.",ParlaMint-HU_2017-03-21,u2017-03-21-83
7,NEUTRAL,0.95,The sentence factually discusses parliamentary interest in trade policy without addressing executive power expansion or the status of democratic institutions.,ParlaMint-HU_2017-03-21,u2017-03-21-83
8,NEUTRAL,1.0,"The sentence focuses solely on international trade and economic opportunities for Hungarian firms, without addressing executive power or institutional frameworks.",ParlaMint-HU_2017-03-21,u2017-03-21-83
9,NEUTRAL,0.95,"The sentence focuses on economic trade policy and supporting a bill for market expansion, rather than discussing executive power or democratic institutions.",ParlaMint-HU_2017-03-21,u2017-03-21-83
10,NEUTRAL,1.0,The sentence is a standard formal closing addressed to the chair and does not express a stance on executive power or institutional change.,ParlaMint-HU_2017-03-21,u2017-03-21-83
11,NEUTRAL,0.9,The sentence makes a procedural observation about the frequency of bills rather than addressing the expansion of executive power or democratic institutions.,ParlaMint-HU_2017-03-21,u2017-03-21-85
12,NEUTRAL,0.95,"The sentence characterizes a legislative procedure as simple and routine, failing to address executive power expansion or institutional erosion.",ParlaMint-HU_2017-03-21,u2017-03-21-85
13,NEUTRAL,0.95,The sentence critiques the government's passive role in routine EU ratifications without addressing the expansion or limitation of executive power or democratic institutions.,ParlaMint-HU_2017-03-21,u2017-03-21-85
14,NEUTRAL,0.9,"The sentence describes the routine legislative process of ratifying EU-mandated agreements, critiquing government passivity without addressing the expansion or restriction of executive power.",ParlaMint-HU_2017-03-21,u2017-03-21-85
15,NEUTRAL,0.95,"The text requests strategic details and visions on economic and migration policies, focusing on policy content rather than the structure of executive power.",ParlaMint-HU_2017-03-21,u2017-03-21-85
16,NEUTRAL,0.95,The sentence requests a strategic policy vision from the government; this does not address the expansion of executive power or undermining of democratic institutions.,ParlaMint-HU_2017-03-21,u2017-03-21-85
17,CONTRA,0.75,"The speaker criticizes the lack of parliamentary debate, opposing the executive's marginalization of legislative deliberation and democratic scrutiny.",ParlaMint-HU_2017-03-21,u2017-03-21-87
18,NEUTRAL,0.9,The sentence discusses foreign policy and regional investment strategies rather than domestic power distribution or democratic institutional changes.,ParlaMint-HU_2017-03-21,u2017-03-21-87
19,NEUTRAL,0.9,"The sentence discusses foreign policy planning and framework agreements, lacking any stance on the expansion or restriction of executive powers.",ParlaMint-HU_2017-03-21,u2017-03-21-87
20,NEUTRAL,0.9,The sentence identifies population growth as a topic for future debate without addressing executive power expansion or democratic institutional changes.,ParlaMint-HU_2017-03-21,u2017-03-21-87
21,NEUTRAL,0.9,"The sentence focuses on border security policy and specific migration proposals, without addressing the expansion of executive power or democratic institutional balance.",ParlaMint-HU_2017-03-21,u2017-03-21-87
