,label,confidence,reason,Text_ID,ID,sentence
0,NEUTRAL,1.0,"The sentence factually states that an apology was made regarding a specific controversy, having no relation to executive power or institutional expansion.",ParlaMint-HU_2020-02-25,u2020-02-25-219-9,Aznap este azonnal bocsánatot kért.
1,NEUTRAL,0.95,"The sentence focuses on clarifying whether an apology was made for a previous statement, having no direct relevance to executive aggrandisement.",ParlaMint-HU_2020-02-25,u2020-02-25-219-10,"Tehát azt szeretném világossá tenni, mert elhangzott, nem öntől, hogy még bocsánatot sem kért."
2,NEUTRAL,0.95,"The sentence clarifies a past controversy regarding an MP's phrasing and apology, without directly addressing the expansion of executive power or institutional undermining.",ParlaMint-HU_2020-02-25,u2020-02-25-219-11,"Kért, megkövette ezért a téves fogalmazásért, és egyébként annyira az állampolgárságra vonatkozott, hogy Németh Zsoltban, aki válaszolt, semmi felháborodás nem volt ezen a téren, hanem utóbb tanulmányozva a szöveget, aznap este derült ki, hogy hoppá, kérem, hát itt a végén nem úgy fogalmazott, amilyen az egész felszólalása volt. Úgyhogy ezt a teljes igazság kedvéért hadd tegyem hozzá."
3,NEUTRAL,1.0,The sentence is a procedural opening addressing the chair and lacks any substantive content regarding executive power or institutional change.,ParlaMint-HU_2020-02-25,u2020-02-25-221-1,"Csak nagyon röviden, elnök úr."
4,NEUTRAL,0.9,The sentence factually reports opposition feedback on parliamentary conflict-of-interest rules without advocating for or against the expansion of executive power.,ParlaMint-HU_2020-02-25,u2020-02-25-221-2,A vitában alapvetően itt még a képviselői összeférhetetlenségi szabályokra a Jobbik részéről akár pozitív visszajelzés is érkezett.
5,NEUTRAL,1.0,The sentence is a rhetorical clarification regarding a specific quote and does not address executive power or democratic institutional frameworks.,ParlaMint-HU_2020-02-25,u2020-02-25-221-3,"Egyébként nem mondtam, hogy nem kért bocsánatot, ezt csak zárójelben, én nem mondtam, én a főpolgármester úr szavaira hivatkoztam."
6,NEUTRAL,0.9,The sentence factually notes political support for conflict of interest rule changes without addressing the expansion of executive power.,ParlaMint-HU_2020-02-25,u2020-02-25-221-4,Tehát ott érzünk valamiféle támogatást.
7,NEUTRAL,0.95,"The sentence is a factual observation about debate topics raised by others regarding mayoral conflict-of-interest, without advocating for or against executive power expansion.",ParlaMint-HU_2020-02-25,u2020-02-25-221-5,Többen felvetették a győri polgármester ügyét és a polgármesteri összeférhetetlenség kérdését.
8,NEUTRAL,0.9,"The sentence discusses professional exceptions for life-saving activities within conflict-of-interest rules, lacking any clear stance on expanding or limiting executive power.",ParlaMint-HU_2020-02-25,u2020-02-25-221-6,"Itt nekünk erre az a válaszunk, hogy nem akarunk senkit sem eltiltani az életmentéstől."
9,NEUTRAL,0.9,"The sentence refers to conflict-of-interest exemptions for life-saving activities, which is a specific administrative matter rather than a broader shift in executive power.",ParlaMint-HU_2020-02-25,u2020-02-25-221-7,Szerintünk ez nem okozhat problémát.
10,NEUTRAL,0.9,"The sentence discusses technical details regarding conflict of interest rules for local officials, showing no clear stance on expanding or restricting executive power.",ParlaMint-HU_2020-02-25,u2020-02-25-221-8,"Ezért nem az alapellátás került bele, hogy semmiféle konfliktus vagy összeférhetetlenség a helyi önkormányzati feladatokkal ne kerüljön egyébként bele."
11,NEUTRAL,0.9,"The sentence discusses technical conflict-of-interest exemptions for medical professionals, which constitutes a specific administrative adjustment rather than a clear expansion of executive power.",ParlaMint-HU_2020-02-25,u2020-02-25-221-9,"Mi azt gondoljuk, hogy ez egy helyes változtatás, ha az életmentés ilyen módon, a kivételek közé, ahol a tudományos, művészeti, lektori és egyéb tevékenységek is szerepelnek, oda a kivételek közé kerül. Én azt kérném, hogy az összeférhetetlenségi szabályok módosítását, illetve a kivételek bővítését önök is támogassák, mint ahogy ezt köszönöm szépen a Fidesz- és a KDNP-frakció részéről is, hogy megkapjuk a támogatást."
12,NEUTRAL,0.9,"The sentence is an introductory quote about teacher salaries and professional standards, containing no reference to executive power or democratic institutional changes.",ParlaMint-HU_2020-03-02,u2020-03-02-29-4,"Engedje meg, hogy egy idézettel kezdjem, a Nemzeti Pedagógus Kar idei tanév elején kiadott évértékelőjében ez szerepel: „Az egész ország érdeke, hogy olyan pedagógusok oktassanak és neveljenek az intézményekben, akik szakmailag felkészültek, feladatukat hivatásuknak érzik, munkájukat sikeresen végzik, továbbá munkájukért olyan bért kapnak, amely lehetővé teszi számukra, hogy értelmiségi életet éljenek.”"
13,NEUTRAL,0.9,The sentence critiques government fiscal policy regarding teacher wages but does not explicitly address executive power expansion or democratic institutional changes.,ParlaMint-HU_2020-03-02,u2020-03-02-29-5,"Nézzük akkor most a valóságot, lássuk, hogy elég lesze ez a frissen beígért 10 százalékos emelés!"
