,label,confidence,reason,Text_ID,ID,sentence
0,NEUTRAL,0.9,The sentence describes a rhetorical reaction to the opposition and does not address the expansion or limitation of executive powers.,ParlaMint-HU_2018-02-19,u2018-02-19-7-4,"Ön ugyan azt várta tőlünk, hogy felhördüljünk, de nem hördülünk fel."
1,NEUTRAL,0.95,"The sentence dismisses the opposition's rhetoric and style without addressing executive power or democratic institutional changes, making it neutral regarding executive aggrandisement.",ParlaMint-HU_2018-02-19,u2018-02-19-7-5,"Megszoktuk az önök stílusát, és megszoktuk az önök témaválasztását."
2,NEUTRAL,0.9,"The speech and sentence criticize opposition rhetoric and past conduct, without taking a clear stance on the expansion or restriction of executive power.",ParlaMint-HU_2018-02-19,u2018-02-19-7-6,"Önök egypár évvel ezelőtt ugyanilyen elánnal engem gyaláztak a származásom miatt, most pedig a miniszterelnököt gyalázzák a pozíciója miatt."
3,NEUTRAL,0.85,The sentence refers to a prior investigation to dismiss criticism without explicitly advocating for or opposing the expansion of executive powers.,ParlaMint-HU_2018-02-19,u2018-02-19-7-7,"Képviselő úr, ön pontosan tisztában van azzal, hogy ezt az ügyet egyszer már kivizsgálták."
4,NEUTRAL,1.0,"The sentence is a formal administrative salutation addressed to the Speaker of the House, expressing no political stance on executive power.",ParlaMint-HU_2018-02-19,u2018-02-19-31-1,"„Kövér László úr, az Országgyűlés elnöke részére."
5,NEUTRAL,0.95,"The sentence is a formal administrative notification of a legal appointment, lacking any evaluative language regarding the expansion or restriction of executive power.",ParlaMint-HU_2018-02-19,u2018-02-19-31-3,"Tájékoztatom az Országgyűlést, hogy az Alaptörvény 9. cikk (3) bekezdés k) pontja és 44. cikk (4) bekezdése, valamint a Magyarország gazdasági stabilitásáról szóló 2011. évi CXCIV. törvény 18. §-a alapján dr. Kovács Árpádot 2018. január 10-ei hatállyal hat évig terjedő időtartamra a Költségvetési Tanács elnökévé kineveztem."
6,NEUTRAL,0.95,"The sentence is a formal, factual notification of a legal appointment, expressing neither support nor opposition to expanding executive power.",ParlaMint-HU_2018-02-19,u2018-02-19-31-4,"Üdvözlettel: Áder János.”  bekezdés k) pontja és 44. cikk (4) bekezdése, valamint a Magyarország gazdasági stabilitásáról szóló 2011. évi CXCIV. törvény 18. §-a alapján dr. Kovács Árpádot 2018. január 10-ei hatállyal hat évig terjedő időtartamra a Költségvetési Tanács elnökévé kineveztem."
7,NEUTRAL,1.0,"The sentence is a formal closing and a record of applause, conveying no substantive political position on executive power or institutional change.",ParlaMint-HU_2018-02-19,u2018-02-19-31-5,Üdvözlettel: Áder János.” (Taps a kormánypártok soraiban.)
8,NEUTRAL,0.95,"The sentence is a procedural request to waive parliamentary immunity, not taking a direct stance on executive power expansion or the undermining of democratic institutions.",ParlaMint-HU_2018-02-19,u2018-02-19-37-1,"Köszönöm szépen, elnök úr. Én mégis azt kérném, és tisztelettel és nyomatékkal kérném a tisztelt Házat, az ellenzéki és a kormánypárti szavazókat is, hogy függesszék fel a mentelmi jogomat."
9,NEUTRAL,0.9,The sentence addresses a personal legal dispute regarding parliamentary immunity rather than the expansion of executive power or institutional changes.,ParlaMint-HU_2018-02-19,u2018-02-19-37-2,"Meggyőződésem, hogy Patyi András a mentelmi jogom mögé akar bújni."
